fMRI_TR,Time_sec,Anxiety,scaled_anxiety
0,0.0,,
1,1.2999999523162842,,
2,2.5999999046325684,,
3,3.899999856948853,,
4,5.199999809265137,,
5,6.499999761581421,,
6,7.799999713897705,,
7,9.09999966621399,,
8,10.399999618530272,,
9,11.699999570846558,,
10,12.999999523162842,,
11,14.299999475479126,,
12,15.59999942779541,,
13,16.899999380111694,,
14,18.19999933242798,,
15,19.499999284744263,,
16,20.799999237060547,,
17,22.09999918937683,,
18,23.399999141693115,,
19,24.6999990940094,,
20,25.999999046325684,,
21,27.299998998641968,,
22,28.599998950958252,,
23,29.899998903274536,,
24,31.19999885559082,,
25,32.499998807907104,,
26,33.79999876022339,,
27,35.09999871253967,,
28,36.39999866485596,,
29,37.69999861717224,,
30,38.999998569488525,,
31,40.29999852180481,,
32,41.599998474121094,,
33,42.89999842643738,,
34,44.19999837875366,,
35,45.499998331069946,,
36,46.79999828338623,,
37,48.099998235702515,,
38,49.3999981880188,,
39,50.69999814033508,,
40,51.99999809265137,,
41,53.29999804496765,,
42,54.599997997283936,,
43,55.89999794960022,,
44,57.199997901916504,,
45,58.49999785423279,,
46,59.79999780654907,,
47,61.09999775886536,,
48,62.39999771118164,,
49,63.699997663497925,,
50,64.99999761581421,,
51,66.2999975681305,,
52,67.59999752044678,,
53,68.89999747276306,,
54,70.19999742507935,,
55,71.49999737739563,,
56,72.79999732971191,,
57,74.0999972820282,,
58,75.39999723434448,,
59,76.69999718666077,,
60,77.99999713897705,,
61,79.29999709129333,,
62,80.59999704360962,,
63,81.8999969959259,,
64,83.19999694824219,,
65,84.49999690055847,,
66,85.79999685287476,,
67,87.09999680519104,,
68,88.39999675750732,,
69,89.69999670982361,,
70,90.99999666213988,,
71,92.29999661445618,,
72,93.59999656677246,-0.9557344866927082,0.04226512161472418
73,94.89999651908876,-0.9557344866927082,0.04226512161472418
74,96.19999647140504,-0.9530684866927084,0.04307349440819891
75,97.49999642372131,-0.6322868200260416,0.14033950040176066
76,98.7999963760376,-0.242441153359375,0.25854678869410097
77,100.09999632835388,0.0515205133072916,0.3476805522566821
78,101.39999628067017,0.233947846640625,0.40299536585489115
79,102.69999623298644,0.4493175133072917,0.46829880886804565
80,103.99999618530272,0.598618846640625,0.5135693024525089
81,105.29999613761902,0.469061846640625,0.474285598775009
82,106.5999960899353,0.5531535133072917,0.49978350406056227
83,107.8999960422516,0.6162061799739583,0.5189020563071371
84,109.19999599456789,0.6056895133072917,0.5157132388985188
85,110.49999594688416,0.5919865133072917,0.5115582755118027
86,111.79999589920044,0.6330955133072916,0.5240231656719511
87,113.09999585151672,0.7081751799739583,0.5467884919572061
88,114.399995803833,0.7083621799739583,0.546845193274678
89,115.69999575614928,0.7083621799739583,0.546845193274678
90,116.99999570846558,0.7020075133072916,0.5449183591993086
91,118.29999566078186,0.5698131799739583,0.5048349749089089
92,119.59999561309814,0.475561846640625,0.4762565001844562
93,120.89999556541444,0.424605846640625,0.4608058459967961
94,122.19999551773073,0.349148846640625,0.43792610635792584
95,123.499995470047,0.2522781799739583,0.40855340890139935
96,124.79999542236328,0.2487208466406249,0.4074747699351624
97,126.09999537467957,0.2222608466406249,0.39945168512070506
98,127.39999532699584,0.2080005133072916,0.39512772957211223
99,128.69999527931213,0.1538115133072916,0.3786967793449532
100,129.99999523162842,0.0226171799739583,0.338916610656007
101,131.2999951839447,-0.0899728200260416,0.30477756608836715
102,132.599995136261,-0.1192531533593749,0.29589931220594407
103,133.89999508857727,-0.1252574866927083,0.2940787046629506
104,135.19999504089355,-0.1934064866927083,0.27341486463950193
105,136.49999499320984,-0.3131924866927083,0.23709388060380332
106,137.79999494552612,-0.4346568200260416,0.2002639997169988
107,139.0999948978424,-0.5660748200260416,0.1604160118051941
108,140.3999948501587,-0.6596414866927083,0.1320451386958697
109,141.69999480247498,-0.749556153359375,0.10478160896305316
110,142.99999475479126,-0.8080231533593749,0.08705350239287646
111,144.29999470710754,-0.8907328200260416,0.06197464106853179
112,145.59999465942383,-0.939557153359375,0.04717034147130317
113,146.8999946117401,-0.9463478200260416,0.04511130539370023
114,148.1999945640564,-0.9463478200260416,0.04511130539370023
115,149.49999451637268,-0.8893068200260417,0.062407026516204334
116,150.79999446868896,-0.8137274866927083,0.08532385953031901
117,152.09999442100525,-0.7110534866927083,0.1164562181939468
118,153.39999437332153,-0.636900153359375,0.1389406657603889
119,154.69999432563782,-0.5342264866927082,0.17007292335214957
120,155.9999942779541,-0.5036011533593749,0.1793590022185275
121,157.2999942302704,-0.4795114866927082,0.1866633649856731
122,158.59999418258667,-0.4329788200260416,0.2007727954962376
123,159.89999413490295,-0.4329788200260416,0.2007727954962376
124,161.19999408721924,-0.4329788200260416,0.2007727954962376
125,162.49999403953552,-0.4329788200260416,0.2007727954962376
126,163.7999939918518,-0.4329788200260416,0.2007727954962376
127,165.0999939441681,-0.509765153359375,0.17748998125116863
128,166.39999389648438,-0.4329788200260416,0.2007727954962376
129,167.69999384880066,-0.4329788200260416,0.2007727954962376
130,168.99999380111694,-0.4329788200260416,0.2007727954962376
131,170.29999375343323,-0.4329788200260416,0.2007727954962376
132,171.5999937057495,-0.378170153359375,0.2173916383244306
133,172.8999936580658,-0.3609588200260417,0.22261038311291242
134,174.19999361038208,-0.471223153359375,0.1891765169623861
135,175.49999356269836,-0.538772153359375,0.16869460629980948
136,176.79999351501465,-0.538772153359375,0.16869460629980948
137,178.09999346733093,-0.582979153359375,0.15529035420635842
138,179.39999341964722,-0.6243338200260417,0.14275097408011966
139,180.6999933719635,-0.6243338200260417,0.14275097408011966
140,181.9999933242798,-0.6243338200260417,0.14275097408011966
141,183.29999327659607,-0.5701448200260416,0.1591819243072787
142,184.59999322891235,-0.4858538200260415,0.1847402705693884
143,185.89999318122864,-0.4082008200260417,0.20828587166905027
144,187.19999313354492,-0.3534504866927083,0.22488702692049184
145,188.4999930858612,-0.3105924866927083,0.23788224116758222
146,189.7999930381775,-0.2717364866927083,0.24966398657765604
147,191.09999299049375,-0.2788664866927083,0.2475020593392932
148,192.3999929428101,-0.2805911533593749,0.24697911349865326
149,193.69999289512631,-0.2813051533593749,0.24676261755921552
150,194.99999284744263,-0.2641928200260416,0.25195134400315344
151,196.2999927997589,-0.2328204866927083,0.2614639249238171
152,197.5999927520752,-0.224077153359375,0.2641150399991914
153,198.89999270439148,-0.2732538200260416,0.24920390743838408
154,200.19999265670776,-0.3328634866927083,0.23112932650761325
155,201.49999260902405,-0.2805761533593749,0.24698366173267505
156,202.79999256134033,-0.2809504866927083,0.24687015802586432
157,204.09999251365664,-0.3314391533593749,0.2315612065959501
158,205.3999924659729,-0.3892354866927083,0.21403645662248144
159,206.6999924182892,-0.4203761533593749,0.20459412064948784
160,207.99999237060547,-0.441583153359375,0.19816382738946528
