window_start_index,window_start_TR,mean_anxiety,mean_scaled_anxiety,median_anxiety,median_scaled_anxiety,binned_by_mean,binned_by_median
72,72,-0.27600968669270826,0.2518652537936971,-0.3748003200260416,0.2155855203207805,medium,medium
77,77,-0.287246253359375,0.2477387528283493,-0.3748003200260416,0.2155855203207805,medium,medium
82,82,-0.33720411447048604,0.22939229805998462,-0.4099199866927083,0.2026882232458114,medium,medium
87,87,-0.30059853113715274,0.2428352810852374,-0.4119298200260416,0.20195013487449498,medium,medium
92,92,-0.2651676922482639,0.2558468526101769,-0.4119298200260416,0.20195013487449498,medium,medium
97,97,-0.32305158113715277,0.2345896545296759,-0.44368782002604157,0.19028737154605985,medium,medium
102,102,-0.41148951447048615,0.20211183206848204,-0.48251765335937497,0.1760275580738874,medium,medium
107,107,-0.4475379866927082,0.18887344174543125,-0.4963371533593749,0.1709525042979157,medium,medium
112,112,-0.47121703113715274,0.18017758271151682,-0.514910653359375,0.1641315982370589,medium,low
117,117,-0.5023492089149306,0.1687446454572504,-0.6051126533593749,0.13100594241013308,low,low
122,122,-0.5412860366927084,0.1544455394955317,-0.689954653359375,0.0998486854572047,low,low
127,127,-0.5806415755815971,0.1399926666532829,-0.736957653359375,0.08258736973434935,low,low
132,132,-0.6044040644704861,0.13126616359875545,-0.753938653359375,0.07635129113745545,low,low
137,137,-0.5890206422482639,0.13691554997570513,-0.7496714866927083,0.0779183594325723,low,low
142,142,-0.5363470089149305,0.15625934112172946,-0.7124799866927083,0.09157651367180325,low,low
147,147,-0.5645055200260417,0.14591844903878967,-0.6918319866927083,0.09915925619984435,low,low
152,152,-0.6035489144704861,0.13158020768403508,-0.6918319866927083,0.09915925619984435,low,low
157,157,-0.5962447700260418,0.13426257143402756,-0.6918319866927083,0.09915925619984435,low,low
162,162,-0.5599799589149306,0.14758040974687145,-0.6819774866927083,0.10277820894309225,low,low
167,167,-0.5217798755815972,0.16160895471327888,-0.3912258200260416,0.2095534427639062,low,medium
172,172,-0.48133895891493056,0.17646042016665453,-0.3277989866927083,0.23284622397930935,medium,medium
177,177,-0.4358550700260416,0.19316385965805682,-0.2974634866927083,0.2439865904050838,medium,medium
182,182,-0.39154509224826384,0.20943619368130909,-0.27841482002604157,0.25098199600542337,medium,medium
187,187,-0.36132893113715275,0.22053273426109235,-0.27841482002604157,0.25098199600542337,medium,medium
192,192,-0.3038363255815971,0.2416462379996628,-0.2710954866927083,0.2536699377016446,medium,medium
197,197,-0.25619842558159717,0.2591407135070519,-0.2710954866927083,0.2536699377016446,medium,medium
202,202,-0.2378761422482638,0.26586936311197656,-0.2710954866927083,0.2536699377016446,medium,medium
207,207,-0.2380330255815972,0.265811749496924,-0.2710954866927083,0.2536699377016446,medium,medium
212,212,-0.25436635891493053,0.25981351909730466,-0.2710954866927083,0.2536699377016446,medium,medium
217,217,-0.26236817558159725,0.25687494318002835,-0.2710954866927083,0.2536699377016446,medium,medium
222,222,-0.27115999224826387,0.25364624877199493,-0.2710954866927083,0.2536699377016446,medium,medium
227,227,-0.2613571811371527,0.2572462193602639,-0.2710954866927083,0.2536699377016446,medium,medium
232,232,-0.23795247558159718,0.26584133056582326,-0.2710954866927083,0.2536699377016446,medium,medium
237,237,-0.20631074780381942,0.27746139424662797,-0.17912132002604164,0.28744640152692913,medium,medium
242,242,-0.16690857558159727,0.2919313926487321,-0.15241332002604163,0.2972546099460943,medium,medium
247,247,-0.1066226644704861,0.31407070599743075,-0.11464382002604165,0.31112502809375264,medium,medium
252,252,-0.07415648669270831,0.3259935395386211,-0.00039398669270835013,0.35308197646833017,medium,medium
257,257,-0.06221531447048611,0.33037879885885096,-0.00039398669270835013,0.35308197646833017,medium,medium
262,262,-0.04201038669270835,0.3377988281661231,0.02466384664062495,0.3622841799978358,medium,medium
267,267,-0.018956336692708346,0.3462651651178176,0.10093284664062496,0.39029310046815574,medium,medium
272,272,0.01472774664062498,0.35863526058516293,0.10093284664062496,0.39029310046815574,medium,medium
277,277,0.026454802196180533,0.36294188800136845,0.10093284664062496,0.39029310046815574,medium,medium
282,282,0.026448029973958304,0.36293940097998845,0.10093284664062496,0.39029310046815574,medium,medium
287,287,0.008324368862847197,0.35628369312106617,0.10093284664062496,0.39029310046815574,medium,medium
292,292,-0.02719025891493058,0.3432413510822195,0.10093284664062496,0.39029310046815574,medium,medium
297,297,-0.08479422002604167,0.32208695328578163,0.06782717997395825,0.37813542192531935,medium,medium
302,302,-0.13915798669270835,0.3021224799475485,-0.303629653359375,0.24172213601636225,medium,medium
307,307,-0.1794369644704861,0.2873304847043493,-0.3173628200260416,0.2366787871725028,medium,medium
312,312,-0.19557969224826388,0.2814022520213221,-0.3173628200260416,0.2366787871725028,medium,medium
317,317,-0.1288762589149305,0.3058983272200349,-0.3173628200260416,0.2366787871725028,medium,medium
322,322,-0.01126429780381943,0.3490899786789432,-0.3173628200260416,0.2366787871725028,medium,medium
